"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,090741,CME ,00,090 ,  153903,   31587,   25543,    3402,   34126,   44832,    4221,   25242,   31745,   12301,    6709,    2334,     339,  117927,  124717,   35976,   29186,  -11111,    1632,  -19748,    -553,  -12305,   -3139,     167,    2845,    5040,    2690,    1071,    -159,     261,   -4192,  -15441,   -6919,    4330,  100.0,   20.5,   16.6,    2.2,   22.2,   29.1,    2.7,   16.4,   20.6,    8.0,    4.4,    1.5,    0.2,   76.6,   81.0,   23.4,   19.0,    104,      6,      8,      6,     19,     17,     13,     22,     19,     14,      8,      5,.,     66,     74,    30.6,    26.8,    39.8,    37.0,    30.5,    26.7,    37.4,    36.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,092741,CME ,00,092 ,   47142,   13352,    5270,    1049,    5974,   16610,     150,    7328,    5872,    2315,    1509,    1600,       0,   31678,   32867,   15464,   14275,   -2081,    2284,     113,      -1,   -2242,    -597,    -360,    2052,    -622,   -1234,     -57,       0,       0,     442,   -2701,   -2523,     620,  100.0,   28.3,   11.2,    2.2,   12.7,   35.2,    0.3,   15.5,   12.5,    4.9,    3.2,    3.4,    0.0,   67.2,   69.7,   32.8,   30.3,     46,.,.,.,      6,     10,.,     13,      8,      5,.,.,      0,     27,     28,    32.0,    29.0,    43.9,    44.3,    31.9,    29.0,    42.1,    44.3,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,096742,CME ,00,096 ,  241710,    6749,   66193,    9948,   74761,   58372,    8994,   66222,   32349,   38279,     233,    1902,     831,  206018,  216868,   35692,   24842,  -25962,    4645,   -5402,   -2658,  -12196,   -4548,    2696,   -3674,   -5756,   -9339,      27,   -1714,      -5,  -20503,  -26725,   -5459,     763,  100.0,    2.8,   27.4,    4.1,   30.9,   24.1,    3.7,   27.4,   13.4,   15.8,    0.1,    0.8,    0.3,   85.2,   89.7,   14.8,   10.3,    119,.,     12,      6,     23,     25,     18,     25,     25,     20,.,.,.,     74,     90,    25.3,    27.8,    42.0,    40.6,    23.8,    24.7,    37.0,    35.1,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,097741,CME ,00,097 ,  250754,   93305,   25601,    7564,   61375,   82259,    4984,   21048,   66034,   19814,    7359,    3866,      15,  215465,  210137,   35289,   40617,  -11553,     187,   -2265,     150,    -925,    4326,    -208,     751,   -2748,  -11895,     825,     -69,       0,  -11113,  -12708,    -440,    1155,  100.0,   37.2,   10.2,    3.0,   24.5,   32.8,    2.0,    8.4,   26.3,    7.9,    2.9,    1.5,    0.0,   85.9,   83.8,   14.1,   16.2,    139,     12,      5,     10,     26,     25,     17,     22,     35,     21,      7,      7,.,     87,    102,    40.0,    24.1,    51.4,    35.7,    39.8,    24.0,    49.8,    35.1,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","Combined"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,099741,CME ,00,099 ,  860124,   24320,  527774,   16731,  520644,   79630,   24465,   59103,   65022,   83226,   31433,    8997,    5286,  765207,  811131,   94917,   48993,   -6293,    4872,   -7048,   -1572,    7070,     -69,   -2499,   -6624,    9758,   -6439,     612,    -157,     -83,   -4663,   -8107,   -1630,    1814,  100.0,    2.8,   61.4,    1.9,   60.5,    9.3,    2.8,    6.9,    7.6,    9.7,    3.7,    1.0,    0.6,   89.0,   94.3,   11.0,    5.7,    297,     13,     16,     13,    122,     26,     54,     42,     44,     31,     21,     13,     11,    241,    165,    16.9,    51.0,    28.3,    65.9,    16.2,    50.6,    27.0,    63.7,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","Combined"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,232741,CME ,00,232 ,  191915,   67271,    3537,    2282,   40318,  111670,    4500,   46385,   28953,    8838,    1902,      22,       0,  171496,  159802,   20419,   32113,   12555,   11009,    -144,     686,   -7251,   15516,    2430,   19756,    1541,  -12195,     -52,     -14,       0,   14382,    7820,   -1827,    4735,  100.0,   35.1,    1.8,    1.2,   21.0,   58.2,    2.3,   24.2,   15.1,    4.6,    1.0,    0.0,    0.0,   89.4,   83.3,   10.6,   16.7,     93,      8,      4,      8,     15,     20,     12,     17,     24,     16,      4,.,      0,     60,     69,    32.2,    44.2,    51.6,    53.4,    31.6,    43.8,    50.8,    52.9,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","Combined"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,299741,CME ,00,099 ,   28864,       0,   11936,       0,   14589,    5128,    2503,     709,    4447,       0,       0,       0,       0,   17801,   24014,   11063,    4850,     252,       0,     -29,       0,     569,    -497,       0,      30,     409,       0,       0,       0,       0,     599,    -117,    -347,     369,  100.0,    0.0,   41.4,    0.0,   50.5,   17.8,    8.7,    2.5,   15.4,    0.0,    0.0,    0.0,    0.0,   61.7,   83.2,   38.3,   16.8,     29,      0,.,      0,     16,      4,      6,.,      5,      0,      0,      0,      0,     18,     17,    25.3,    57.6,    41.1,    70.2,    24.5,    57.6,    37.7,    69.6,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","Combined"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,399741,CME ,00,099 ,   22445,    2915,    5514,      46,    5365,    8438,    1083,    5180,       0,       2,       0,    1820,       0,   14591,   16903,    7854,    5542,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   13.0,   24.6,    0.2,   23.9,   37.6,    4.8,   23.1,    0.0,    0.0,    0.0,    8.1,    0.0,   65.0,   75.3,   35.0,   24.7,     21,.,.,.,      5,      7,.,      5,      0,.,      0,.,      0,     14,     12,    35.8,    50.3,    55.2,    66.5,    35.8,    49.8,    53.0,    65.0,"(CONTRACTS OF EUR 125,000)","399741","CME ","099 ","F10","Combined"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,095741,CME ,00,095 ,  228249,    3915,   64952,     238,  129422,    8598,    2437,   80885,   36451,    1097,    2890,  110076,       5,  220888,  223854,    7361,    4395,   -8576,    1328,   -3962,     -28,   -7577,     298,     863,   -1333,   -5139,     284,    -680,   -1030,      -6,   -7149,   -8721,   -1427,     145,  100.0,    1.7,   28.5,    0.1,   56.7,    3.8,    1.1,   35.4,   16.0,    0.5,    1.3,   48.2,    0.0,   96.8,   98.1,    3.2,    1.9,    158,      4,      8,.,     26,     11,      7,     63,     23,     11,      8,     15,.,    106,     72,    37.5,    68.4,    51.4,    80.6,    37.5,    68.3,    51.2,    80.5,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","Combined"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",230808,2023-08-08,102741,CME ,00,102 ,   45717,    1454,   30457,     270,   16154,    1496,       0,   19500,    4618,     525,    4143,    3910,       0,   42046,   41276,    3671,    4441,  -15793,     -23,   -1517,  -11928,     580,    -368,       0,   -3273,    -563,     318,     197,    -232,       0,  -14129,  -14290,   -1664,   -1503,  100.0,    3.2,   66.6,    0.6,   35.3,    3.3,    0.0,   42.7,   10.1,    1.1,    9.1,    8.6,    0.0,   92.0,   90.3,    8.0,    9.7,     82,      4,      5,.,     15,      5,      0,     27,      9,.,      7,      9,      0,     55,     30,    30.4,    70.4,    47.2,    77.1,    30.4,    69.8,    47.2,    76.5,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","Combined"
