"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,090741,CME ,00,090 ,  214241,   95832,   28456,   12616,   38265,   64447,    4799,   16992,   69197,    4232,    9568,    2313,     497,  182801,  186557,   31440,   27684,     368,  -10207,    8074,    4126,    3332,  -19691,   -2515,    6941,   21504,   -5016,     585,     468,      72,   -2682,    7022,    3050,   -6654,  100.0,   44.7,   13.3,    5.9,   17.9,   30.1,    2.2,    7.9,   32.3,    2.0,    4.5,    1.1,    0.2,   85.3,   87.1,   14.7,   12.9,    106,      9,      6,      7,     15,     23,      9,     15,     25,      8,      9,      4,.,     63,     69,    47.7,    33.2,    58.3,    47.0,    47.0,    32.7,    53.9,    42.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,092741,CME ,00,092 ,   45281,   11552,    5445,       0,   12339,   16025,      27,    6410,    6765,     230,    1353,     431,       0,   31911,   28923,   13370,   16358,  -19905,  -11509,   -3595,   -4605,     540,   -3031,      23,    -376,   -3417,   -4442,    -118,     431,       0,  -20487,  -18636,     582,   -1269,  100.0,   25.5,   12.0,    0.0,   27.2,   35.4,    0.1,   14.2,   14.9,    0.5,    3.0,    1.0,    0.0,   70.5,   63.9,   29.5,   36.1,     46,.,      5,      0,      4,     10,.,      9,     12,.,.,.,      0,     22,     30,    49.7,    25.2,    58.1,    41.7,    49.7,    25.2,    58.0,    41.7,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,096742,CME ,00,096 ,  177998,   17675,   15470,    6486,   50930,   92500,    4011,   58262,   25020,   10418,     486,    1877,       0,  148268,  155782,   29730,   22216,  -65679,  -21506,   -5386,  -22538,   -6004,    1859,   -1832,    4799,   -8394,   -4176,     486,   -1310,       0,  -50771,  -41777,  -14908,  -23902,  100.0,    9.9,    8.7,    3.6,   28.6,   52.0,    2.3,   32.7,   14.1,    5.9,    0.3,    1.1,    0.0,   83.3,   87.5,   16.7,   12.5,    110,.,      6,.,     15,     30,     12,     30,     22,     16,.,.,      0,     62,     78,    25.8,    27.9,    41.3,    45.1,    22.3,    27.8,    37.4,    42.4,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,097741,CME ,00,097 ,  185940,   35737,    2941,    1063,   63273,   50950,    2968,   28932,   86840,    3553,   11521,     941,       0,  147047,  149256,   38893,   36684,  -71641,  -48075,  -26838,   -3019,     364,  -16069,   -7084,    -463,   -4002,  -13627,     174,    -486,       0,  -71730,  -71125,      89,    -516,  100.0,   19.2,    1.6,    0.6,   34.0,   27.4,    1.6,   15.6,   46.7,    1.9,    6.2,    0.5,    0.0,   79.1,   80.3,   20.9,   19.7,    139,     11,      6,.,     21,     26,     12,     29,     35,     10,      9,.,      0,     83,     81,    29.6,    30.1,    38.6,    41.5,    29.3,    30.1,    38.1,    41.5,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,099741,CME ,00,099 ,  700244,   18849,  427451,    1937,  459191,   95873,   26322,   67756,   75221,    9286,   31708,    9989,    3843,  618892,  649922,   81352,   50322,  -91905,   -2251,  -32452,  -26407,   -3071,   -3565,   -4423,  -15418,    8688,  -15427,   -3855,   -1266,   -2155,  -73007,  -77007,  -18898,  -14898,  100.0,    2.7,   61.0,    0.3,   65.6,   13.7,    3.8,    9.7,   10.7,    1.3,    4.5,    1.4,    0.5,   88.4,   92.8,   11.6,    7.2,    285,     13,     13,      4,    113,     34,     49,     39,     39,     22,     24,     10,      5,    213,    152,    19.6,    41.8,    30.4,    64.6,    18.7,    41.8,    29.0,    64.4,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,232741,CME ,00,232 ,  147665,   59754,    2270,     162,   33261,   97324,    1662,   23132,   21793,     533,    1997,    1126,       0,  120501,  124870,   27164,   22795,  -61262,  -39718,  -21973,  -19297,    2271,   -7712,   -2940,    4458,    2424,  -10746,     -43,    1126,       0,  -66015,  -59118,    4753,   -2144,  100.0,   40.5,    1.5,    0.1,   22.5,   65.9,    1.1,   15.7,   14.8,    0.4,    1.4,    0.8,    0.0,   81.6,   84.6,   18.4,   15.4,     96,      8,.,.,     19,     18,     10,     24,     19,      6,      5,.,      0,     64,     49,    45.3,    53.8,    53.7,    61.6,    45.3,    53.5,    53.7,    60.9,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,299741,CME ,00,099 ,   29068,     491,   10129,       0,   15309,    4324,    1865,     917,    5414,       0,       0,       0,       0,   18582,   21732,   10486,    7336,   -4187,     491,   -1806,    -829,     525,     -49,    -415,     469,    1138,    -394,       0,       0,       0,    -153,   -2355,   -4034,   -1832,  100.0,    1.7,   34.8,    0.0,   52.7,   14.9,    6.4,    3.2,   18.6,    0.0,    0.0,    0.0,    0.0,   63.9,   74.8,   36.1,   25.2,     27,.,.,      0,     15,.,      5,.,      5,      0,      0,      0,      0,     18,     14,    27.6,    58.3,    42.8,    68.5,    27.0,    58.3,    40.8,    66.9,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,095741,CME ,00,095 ,  245808,    1763,   82045,      63,  142841,    3484,     909,   89513,   64122,     884,    2576,   89724,       0,  238549,  241231,    7259,    4577,  -23266,  -22776,   -5575,   -8623,    4734,    -688,    -556,    9870,    8075,   -5710,    -161,  -12402,    -428,  -23650,  -25907,     384,    2641,  100.0,    0.7,   33.4,    0.0,   58.1,    1.4,    0.4,   36.4,   26.1,    0.4,    1.0,   36.5,    0.0,   97.0,   98.1,    3.0,    1.9,    154,.,      8,.,     30,      8,      4,     61,     22,      9,     11,     13,      0,    107,     62,    35.1,    69.7,    51.9,    83.3,    35.1,    69.7,    51.9,    83.3,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,102741,CME ,00,102 ,   66001,    5001,   55216,      86,   38961,    2119,      18,   14868,    4432,     370,    2426,    3240,       0,   61730,   65481,    4271,     520,   -2645,     555,   -1081,     -15,   -1774,    -720,       7,   -2101,    -415,     182,      -3,     353,       0,   -3149,   -1689,     504,    -956,  100.0,    7.6,   83.7,    0.1,   59.0,    3.2,    0.0,   22.5,    6.7,    0.6,    3.7,    4.9,    0.0,   93.5,   99.2,    6.5,    0.8,     77,.,      7,.,     17,      4,.,     27,      5,.,      6,      8,      0,     56,     26,    45.6,    81.1,    63.7,    89.4,    45.6,    81.0,    63.7,    89.3,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,112741,CME ,00,112 ,   33652,    5639,    1363,       0,   10249,   19605,     984,   10335,    7874,     503,    1101,     454,      14,   28825,   30797,    4827,    2855,  -24656,  -21603,   -7630,    -954,     923,   -1800,    -917,    1771,   -7990,   -4451,     263,     367,       0,  -24968,  -23375,     312,   -1281,  100.0,   16.8,    4.1,    0.0,   30.5,   58.3,    2.9,   30.7,   23.4,    1.5,    3.3,    1.3,    0.0,   85.7,   91.5,   14.3,    8.5,     80,      6,.,      0,     15,     15,.,     21,     13,      5,      4,.,.,     53,     36,    33.2,    41.0,    46.1,    57.2,    33.2,    38.4,    46.1,    54.6,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE",231219,2023-12-19,122741,CME ,00,122 ,    5917,     379,    1845,       0,    1272,    2011,      77,    2581,     900,       0,       0,       0,       0,    4309,    4833,    1608,    1084,   -6221,     -80,     344,   -1280,     418,     317,       0,   -4782,   -4558,    -374,    -171,       0,       0,   -6269,   -5551,      48,    -670,  100.0,    6.4,   31.2,    0.0,   21.5,   34.0,    1.3,   43.6,   15.2,    0.0,    0.0,    0.0,    0.0,   72.8,   81.7,   27.2,   18.3,     26,.,.,      0,      4,      5,.,     10,      4,      0,      0,      0,      0,     15,     12,    30.7,    58.4,    52.9,    74.2,    29.4,    58.4,    51.6,    74.2,"(CONTRACTS OF ZAR 500,000)","122741","CME ","122 ","F15","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",231219,2023-12-19,12460+,CBT ,00,124 ,  100329,   29806,   52155,    1163,   27554,    4617,    1017,   22929,   16882,    2329,    1520,    7662,       0,   86318,   85825,   14011,   14504,  -11747,   -2828,   23499,  -14836,    7453,   -3363,    -553,    5111,   -7389,   -5692,     289,     435,    -400,  -11456,   -8299,    -291,   -3448,  100.0,   29.7,   52.0,    1.2,   27.5,    4.6,    1.0,   22.9,   16.8,    2.3,    1.5,    7.6,    0.0,   86.0,   85.5,   14.0,   14.5,    107,     10,     18,      5,     23,      4,      6,     23,     21,     10,.,      6,      0,     67,     61,    34.0,    35.6,    45.9,    52.6,    33.6,    34.6,    45.5,    51.6,"($5 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
