"WHEAT-SRW - CHICAGO BOARD OF TRADE",240102,2024-01-02,001602,CBT ,00,001 ,  416057,   67775,   84520,   63937,    2654,   17464,   69795,  130072,   71556,   30483,    8642,   65639,  386650,  380548,   29406,   35508,  293534,   53440,   52953,   25826,   10158,    7496,   73548,  108876,   35169,   33818,   11810,   41313,  270610,  267775,   22924,   25758,  122523,   14335,   31567,   46436,     821,    1643,   27712,   52661,    4923,    7580,    7746,   13412,  116040,  112773,    6483,    9750,    3510,    2546,    1452,    -270,    -160,      26,    6016,    6735,   -5728,   -1443,   -1069,    4121,    5269,    5376,   -1759,   -1866,  100.0,   16.3,   20.3,   15.4,    0.6,    4.2,   16.8,   31.3,   17.2,    7.3,    2.1,   15.8,   92.9,   91.5,    7.1,    8.5,  100.0,   18.2,   18.0,    8.8,    3.5,    2.6,   25.1,   37.1,   12.0,   11.5,    4.0,   14.1,   92.2,   91.2,    7.8,    8.8,  100.0,   11.7,   25.8,   37.9,    0.7,    1.3,   22.6,   43.0,    4.0,    6.2,    6.3,   10.9,   94.7,   92.0,    5.3,    8.0,    359,     80,     81,     20,      5,     20,     54,     81,     81,     58,     36,     65,    301,    290,    342,     69,     78,     15,     10,     19,     55,     74,     66,     55,     38,     50,    264,    269,    218,     41,     56,     18,.,      8,     32,     36,     22,     19,     33,     28,    144,    157,    10.3,    12.8,    19.1,    20.6,     8.8,     7.8,    14.7,    13.8,    12.0,    10.9,    21.2,    19.5,     9.2,    10.4,    16.7,    17.4,    24.4,    31.3,    40.5,    43.1,    24.4,    31.0,    40.5,    39.6,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","Combined"
"WHEAT-HRW - CHICAGO BOARD OF TRADE",240102,2024-01-02,001612,CBT ,00,001 ,  221600,   29827,   47950,   45677,    2336,   10905,   36286,   70782,   52002,   15283,    5214,   12331,  202310,  201520,   19290,   20080,  161339,   17352,   33863,   31763,    4694,    2407,   43579,   63514,   29260,   15668,    5394,    6877,  146906,  146008,   14433,   15331,   60262,   12474,   14088,   20547,    4276,    1864,   10631,   25193,    4818,     937,    1141,    4132,   55404,   55512,    4857,    4749,    5490,    1003,    3317,    6623,    -532,     -61,   -6015,   -2608,    5119,      79,     729,    -528,    6220,    5436,    -730,      54,  100.0,   13.5,   21.6,   20.6,    1.1,    4.9,   16.4,   31.9,   23.5,    6.9,    2.4,    5.6,   91.3,   90.9,    8.7,    9.1,  100.0,   10.8,   21.0,   19.7,    2.9,    1.5,   27.0,   39.4,   18.1,    9.7,    3.3,    4.3,   91.1,   90.5,    8.9,    9.5,  100.0,   20.7,   23.4,   34.1,    7.1,    3.1,   17.6,   41.8,    8.0,    1.6,    1.9,    6.9,   91.9,   92.1,    8.1,    7.9,    215,     48,     59,     20,      4,     14,     36,     44,     42,     17,     19,     21,    161,    168,    210,     43,     50,     18,      6,     11,     40,     39,     34,     19,     19,     12,    142,    149,    140,     32,     49,     14,      4,      7,     17,     21,     14,      8,     14,     16,     93,    106,    20.8,    17.7,    31.4,    28.7,    14.6,    14.8,    21.1,    22.5,    21.0,    21.9,    33.1,    34.2,    17.3,    19.3,    27.6,    28.9,    31.6,    29.6,    44.3,    46.0,    28.0,    28.2,    40.0,    38.8,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 ","A10","Combined"
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",240102,2024-01-02,001626,MGE ,00,001 ,   59580,   36104,   10117,    1921,     194,     169,     616,   27348,    6242,    1822,    1708,    3385,   50258,   49162,    9321,   10418,   54624,   32228,    7677,    1747,     194,     168,     950,   27349,    5852,    2352,    1638,    2559,   45856,   45438,    8768,    9187,    4955,    3876,    2440,     174,       0,       1,       2,     335,      54,      61,     661,     234,    4402,    3724,     553,    1231,     -64,    -862,    -335,     133,     -14,    -105,    -356,    -881,     338,      41,     320,      54,    -757,    -623,     693,     559,  100.0,   60.6,   17.0,    3.2,    0.3,    0.3,    1.0,   45.9,   10.5,    3.1,    2.9,    5.7,   84.4,   82.5,   15.6,   17.5,  100.0,   59.0,   14.1,    3.2,    0.4,    0.3,    1.7,   50.1,   10.7,    4.3,    3.0,    4.7,   83.9,   83.2,   16.1,   16.8,  100.0,   78.2,   49.2,    3.5,    0.0,    0.0,    0.0,    6.8,    1.1,    1.2,   13.3,    4.7,   88.8,   75.2,   11.2,   24.8,    107,     44,     34,      5,.,.,      5,     26,      9,      9,      6,      9,     73,     81,    107,     44,     31,      5,.,.,      6,     26,      9,     11,      6,      9,     73,     78,     49,     16,     19,.,      0,.,.,      4,.,.,      9,      6,     26,     34,    21.0,    27.5,    34.3,    39.7,    19.3,    26.0,    28.2,    34.0,    22.8,    29.9,    34.7,    42.9,    20.3,    28.3,    29.0,    37.1,    57.7,    32.8,    73.6,    49.5,    57.7,    28.1,    71.9,    41.6,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 ","A10","Combined"
"CORN - CHICAGO BOARD OF TRADE",240102,2024-01-02,002602,CBT ,00,002 , 1601347,  447740,  445507,  202427,    6263,   37099,  162354,  359680,  226635,   81930,   48472,  263748, 1421934, 1387405,  179413,  213941, 1349324,  366615,  378065,  187503,    4778,   31527,  182856,  364414,  152884,   78270,   64017,  191971, 1191626, 1187655,  157698,  161669,  252023,   81125,   67442,   19175,    5737,    1321,   48157,   63926,    5092,   39255,   20050,   36183,  230308,  199750,   21714,   52272,   68024,   18678,   -2991,    8436,    -220,    5659,  -10725,    8974,   24445,    2002,    3441,   19460,   67956,   58769,      68,    9255,  100.0,   28.0,   27.8,   12.6,    0.4,    2.3,   10.1,   22.5,   14.2,    5.1,    3.0,   16.5,   88.8,   86.6,   11.2,   13.4,  100.0,   27.2,   28.0,   13.9,    0.4,    2.3,   13.6,   27.0,   11.3,    5.8,    4.7,   14.2,   88.3,   88.0,   11.7,   12.0,  100.0,   32.2,   26.8,    7.6,    2.3,    0.5,   19.1,   25.4,    2.0,   15.6,    8.0,   14.4,   91.4,   79.3,    8.6,   20.7,    739,    311,    307,     29,      7,     25,     61,     90,     86,     71,     69,    105,    595,    597,    723,    303,    289,     29,      7,     24,     63,     91,     78,     68,     81,     99,    573,    572,    416,     97,    222,     14,      5,      7,     30,     22,     13,     46,     37,     36,    208,    322,     8.4,     9.2,    14.7,    15.3,     7.1,     7.6,    12.0,    12.1,     9.8,     9.0,    16.3,    15.1,     8.5,     8.6,    14.0,    13.3,    16.9,    21.8,    28.1,    30.4,    16.3,    21.2,    26.0,    27.8,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 ","A10","Combined"
"SOYBEANS - CHICAGO BOARD OF TRADE",240102,2024-01-02,005602,CBT ,00,005 ,  789479,  258281,  336237,  123979,   14178,   18332,   69804,   81433,  111668,   28544,   34152,  122124,  732732,  718123,   56747,   71356,  674973,  210893,  307332,  107554,   11363,   14269,   65544,   66291,   95168,   27883,   21069,  103787,  625099,  619279,   49874,   55694,  114506,   47388,   28906,   18085,    4474,    2403,   18237,   29119,    2522,    5392,   17814,   13606,  107633,   98844,    6873,   15663,   36774,   12901,   -1634,    3854,    -383,   -1821,    -813,   15583,    7529,    1682,   -2106,   21411,   44745,   38579,   -7971,   -1805,  100.0,   32.7,   42.6,   15.7,    1.8,    2.3,    8.8,   10.3,   14.1,    3.6,    4.3,   15.5,   92.8,   91.0,    7.2,    9.0,  100.0,   31.2,   45.5,   15.9,    1.7,    2.1,    9.7,    9.8,   14.1,    4.1,    3.1,   15.4,   92.6,   91.7,    7.4,    8.3,  100.0,   41.4,   25.2,   15.8,    3.9,    2.1,   15.9,   25.4,    2.2,    4.7,   15.6,   11.9,   94.0,   86.3,    6.0,   13.7,    531,    167,    185,     25,     14,     27,     51,     72,     82,     75,     73,     91,    427,    446,    522,    160,    173,     27,     12,     25,     52,     67,     77,     82,     66,     79,    410,    417,    275,     59,    111,     16,      9,     12,     26,     27,     21,     15,     48,     26,    155,    217,    11.6,    11.9,    20.4,    21.1,     8.2,    10.6,    14.4,    16.4,    12.2,    13.8,    21.2,    23.6,     8.4,    12.4,    15.2,    19.0,    19.6,    20.7,    34.2,    31.6,    18.2,    20.0,    32.6,    28.2,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 ","A30","Combined"
"NJ SRECS - ICE FUTURES ENERGY DIV",240102,2024-01-02,0063CC,IFED,01,006 ,   85113,   56941,   77167,    4697,       0,     700,       0,       0,       0,   19935,    4406,    2840,   85113,   85113,       0,       0,   85113,   56941,   77167,    4697,       0,     700,       0,       0,       0,   19935,    4406,    2840,   85113,   85113,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      25,       0,      25,       0,       0,       0,       0,       0,       0,      25,       0,       0,      25,      25,       0,       0,  100.0,   66.9,   90.7,    5.5,    0.0,    0.8,    0.0,    0.0,    0.0,   23.4,    5.2,    3.3,  100.0,  100.0,    0.0,    0.0,  100.0,   66.9,   90.7,    5.5,    0.0,    0.8,    0.0,    0.0,    0.0,   23.4,    5.2,    3.3,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,     15,      9,.,      0,.,      0,      0,      0,      5,.,      4,     22,     16,     27,     15,      9,.,      0,.,      0,      0,      0,      5,.,      4,     22,     16,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    46.5,    93.3,    72.8,    97.5,    45.5,    91.9,    71.0,    92.9,    46.5,    93.3,    72.8,    97.5,    45.5,    91.9,    71.0,    92.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 ","N60","Combined"
"PJM TRI-RECs CLASS 1  - ICE FUTURES ENERGY DIV",240102,2024-01-02,0063CH,IFED,01,006 ,  205916,  148232,  131416,   12308,   17460,    2119,   21627,       0,       0,   13855,   47159,    7762,  205903,  205916,      13,       0,  205916,  148232,  131416,   12308,   17460,    2119,   21627,       0,       0,   13855,   47159,    7762,  205903,  205916,      13,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4475,    2690,    2180,       0,       0,       0,    1635,       0,       0,     100,    2245,      50,    4475,    4475,       0,       0,  100.0,   72.0,   63.8,    6.0,    8.5,    1.0,   10.5,    0.0,    0.0,    6.7,   22.9,    3.8,  100.0,  100.0,    0.0,    0.0,  100.0,   72.0,   63.8,    6.0,    8.5,    1.0,   10.5,    0.0,    0.0,    6.7,   22.9,    3.8,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,     19,     18,      4,.,.,.,      0,      0,      7,      7,      8,     37,     30,     47,     19,     18,      4,.,.,.,      0,      0,      7,      7,      8,     37,     30,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    53.3,    49.8,    72.5,    78.5,    53.3,    48.5,    72.5,    75.6,    53.3,    49.8,    72.5,    78.5,    53.3,    48.5,    72.5,    75.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063CH","IFED","006 ","N60","Combined"
"CALIF LOW CARBON FSC-OPIS  - ICE FUTURES ENERGY DIV",240102,2024-01-02,0063CU,IFED,01,006 ,   29503,    4387,   14114,    6783,    2949,     514,   12417,       0,     604,    4281,   10807,     515,   29501,   29503,       2,      -0,   29503,    4387,   14114,    6783,    2949,     514,   12417,       0,     604,    4281,   10807,     515,   29501,   29503,       2,      -0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -3803,   -2830,   -1801,     159,    -842,    -149,    1149,       0,    -975,      -4,    1116,   -1152,   -3803,   -3803,       0,       0,  100.0,   14.9,   47.8,   23.0,   10.0,    1.7,   42.1,    0.0,    2.0,   14.5,   36.6,    1.7,  100.0,  100.0,    0.0,    0.0,  100.0,   14.9,   47.8,   23.0,   10.0,    1.7,   42.1,    0.0,    2.0,   14.5,   36.6,    1.7,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     39,      7,      6,      4,.,.,      8,      0,.,     12,      5,.,     33,     19,     39,      7,      6,      4,.,.,      8,      0,.,     12,      5,.,     33,     19,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    61.6,    89.7,    77.8,    95.8,    60.8,    88.6,    76.2,    93.4,    61.6,    89.7,    77.8,    95.8,    60.8,    88.6,    76.2,    93.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 LCFS Credits- each of 1 MT","0063CU","IFED","006 ","N60","Combined"
"D6 RINs OPIS CURRENT YEAR - ICE FUTURES ENERGY DIV",240102,2024-01-02,0063CW,IFED,01,006 ,   13041,    4617,    5325,    1848,    2030,     113,       0,    2442,      17,    5638,    1847,     739,   12972,   12513,      69,     528,   13041,    4617,    5325,    1848,    2030,     113,       0,    2442,      17,    5638,    1847,     739,   12972,   12513,      69,     528,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     404,      40,    -356,     -40,       0,       0,       0,     330,       0,     195,    -148,     207,     402,      33,       2,     371,  100.0,   35.4,   40.8,   14.2,   15.6,    0.9,    0.0,   18.7,    0.1,   43.2,   14.2,    5.7,   99.5,   96.0,    0.5,    4.0,  100.0,   35.4,   40.8,   14.2,   15.6,    0.9,    0.0,   18.7,    0.1,   43.2,   14.2,    5.7,   99.5,   96.0,    0.5,    4.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     40,      5,      7,.,.,.,      0,      7,.,      7,     12,      8,     21,     32,     40,      5,      7,.,.,.,      0,      7,.,      7,     12,      8,     21,     32,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    79.6,    53.0,    89.6,    67.6,    71.0,    49.3,    79.7,    61.6,    79.6,    53.0,    89.6,    67.6,    71.0,    49.3,    79.7,    61.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(50,000 RINs)","0063CW","IFED","006 ","N60","Combined"
"PA SOLAR ALTER ENERGY CREDIT - ICE FUTURES ENERGY DIV",240102,2024-01-02,0063DA,IFED,01,006 ,   22217,   16346,   13003,     400,    3931,     396,       0,       0,       0,    5025,    4837,      50,   22217,   22217,       0,       0,   22217,   16346,   13003,     400,    3931,     396,       0,       0,       0,    5025,    4837,      50,   22217,   22217,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   73.6,   58.5,    1.8,   17.7,    1.8,    0.0,    0.0,    0.0,   22.6,   21.8,    0.2,  100.0,  100.0,    0.0,    0.0,  100.0,   73.6,   58.5,    1.8,   17.7,    1.8,    0.0,    0.0,    0.0,   22.6,   21.8,    0.2,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,     12,      8,.,.,.,      0,      0,      0,.,.,.,     19,     12,     25,     12,      8,.,.,.,      0,      0,      0,.,.,.,     19,     12,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    63.1,    71.9,    84.3,    94.3,    58.0,    57.3,    71.5,    79.1,    63.1,    71.9,    84.3,    94.3,    58.0,    57.3,    71.5,    79.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 PA SRECs)","0063DA","IFED","006 ","N60","Combined"
