"WHEAT-SRW - CHICAGO BOARD OF TRADE",231114,2023-11-14,001602,CBT ,00,001 ,  436959,   60627,   65341,   63994,     481,   16232,   74884,  172335,   82893,   53491,   15078,   48534,  400655,  400894,   36304,   36065,  355846,   52165,   51503,   32556,    6625,    9662,   81266,  156143,   55994,   62757,   18015,   29209,  323609,  327151,   32237,   28695,   81113,    8462,   13838,   37628,      46,     380,   16873,   39447,    3644,    4301,   10630,    5758,   77046,   73743,    4067,    7370,  -16353,   -4305,    -710,    2300,     460,     702,   -2377,   -5128,  -14086,   -2200,     -22,    3328,  -16638,  -15456,     285,    -897,  100.0,   13.9,   15.0,   14.6,    0.1,    3.7,   17.1,   39.4,   19.0,   12.2,    3.5,   11.1,   91.7,   91.7,    8.3,    8.3,  100.0,   14.7,   14.5,    9.1,    1.9,    2.7,   22.8,   43.9,   15.7,   17.6,    5.1,    8.2,   90.9,   91.9,    9.1,    8.1,  100.0,   10.4,   17.1,   46.4,    0.1,    0.5,   20.8,   48.6,    4.5,    5.3,   13.1,    7.1,   95.0,   90.9,    5.0,    9.1,    363,     75,     76,     25,.,     18,     42,     83,     65,     63,     32,     50,    276,    272,    355,     69,     68,     22,      6,     12,     48,     73,     60,     69,     31,     40,    257,    249,    185,     33,     55,     19,      4,.,     20,     32,     14,     12,     26,     16,    106,    129,    13.2,    13.4,    21.9,    23.1,     9.3,     9.9,    15.7,    17.6,    14.6,    14.8,    22.9,    25.6,     8.7,    11.8,    15.5,    20.9,    35.1,    26.2,    50.4,    41.0,    35.0,    24.6,    50.4,    36.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-HRW - CHICAGO BOARD OF TRADE",231114,2023-11-14,001612,CBT ,00,001 ,  227923,   38949,   49895,   43227,    3522,   10019,   37120,   74862,   54488,   16786,    7406,    7760,  208349,  207952,   19574,   19971,  193648,   32727,   39212,   33358,    4921,    5591,   41926,   75404,   40275,   19009,    7331,    4107,  176993,  176841,   16655,   16807,   34275,    6222,   10683,   13373,    2105,     924,    9001,   13265,     406,     451,    2749,     979,   31356,   31111,    2919,    3164,     225,    -292,    1873,     197,     -40,    1938,    -461,    2551,    1699,     977,   -1503,   -4087,     -29,    2431,     254,   -2206,  100.0,   17.1,   21.9,   19.0,    1.5,    4.4,   16.3,   32.8,   23.9,    7.4,    3.2,    3.4,   91.4,   91.2,    8.6,    8.8,  100.0,   16.9,   20.2,   17.2,    2.5,    2.9,   21.7,   38.9,   20.8,    9.8,    3.8,    2.1,   91.4,   91.3,    8.6,    8.7,  100.0,   18.2,   31.2,   39.0,    6.1,    2.7,   26.3,   38.7,    1.2,    1.3,    8.0,    2.9,   91.5,   90.8,    8.5,    9.2,    213,     44,     54,     17,      5,     10,     38,     46,     41,     22,     15,     20,    151,    165,    211,     43,     49,     16,      6,      9,     38,     45,     37,     25,     14,     17,    145,    155,    120,     23,     35,     13,      5,      4,     17,     18,      8,      8,     12,      9,     76,     77,    18.6,    20.4,    30.2,    32.2,    12.6,    15.1,    20.9,    24.0,    18.1,    23.6,    30.8,    36.6,    15.5,    17.1,    25.5,    27.5,    41.1,    36.4,    54.8,    52.0,    40.5,    35.5,    54.2,    47.7,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 ","A10","FutOnly"
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",231114,2023-11-14,001626,MGE ,00,001 ,   74229,   46766,   25416,    2336,     532,      39,    3431,   31298,    3745,    4479,    1767,    1536,   62332,   64333,   11897,    9896,   70832,   43894,   23764,    2175,     532,      38,    3483,   31199,    3669,    4989,    1731,     883,   59131,   61816,   11701,    9016,    3397,    2872,    1652,     161,       0,       1,       0,     151,      24,       0,     546,     143,    3201,    2517,     196,     880,   -3861,   -1263,    2492,     -17,       8,    -405,    -108,   -3390,    -756,    -257,     383,   -1644,   -4450,   -3312,     589,    -549,  100.0,   63.0,   34.2,    3.1,    0.7,    0.1,    4.6,   42.2,    5.0,    6.0,    2.4,    2.1,   84.0,   86.7,   16.0,   13.3,  100.0,   62.0,   33.5,    3.1,    0.8,    0.1,    4.9,   44.0,    5.2,    7.0,    2.4,    1.2,   83.5,   87.3,   16.5,   12.7,  100.0,   84.5,   48.6,    4.7,    0.0,    0.0,    0.0,    4.4,    0.7,    0.0,   16.1,    4.2,   94.2,   74.1,    5.8,   25.9,    120,     53,     46,.,.,.,      8,     25,     10,     10,      7,      9,     85,     92,    120,     53,     46,.,.,.,      9,     25,     10,     13,      5,      8,     85,     91,     42,     13,     21,.,      0,.,      0,.,.,      0,      7,.,     19,     31,    24.1,    25.0,    35.1,    36.5,    21.0,    23.8,    29.6,    33.7,    24.4,    26.1,    34.8,    37.7,    21.2,    25.0,    28.9,    35.2,    63.1,    38.9,    80.4,    55.3,    63.1,    35.3,    79.0,    50.1,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 ","A10","FutOnly"
"CORN - CHICAGO BOARD OF TRADE",231114,2023-11-14,002602,CBT ,00,002 , 1448933,  461327,  517294,  196619,    7567,   23434,  163701,  338344,  208233,  116724,   51281,  122591, 1292629, 1268744,  156304,  180189, 1303572,  400469,  478413,  185084,    6087,   20469,  183032,  333892,  160790,  115212,   57628,   90984, 1156040, 1148263,  147532,  155309,  145361,   60858,   38881,   14432,    4377,      68,   27274,   51057,     838,   28446,   20587,    4673,  136589,  120481,    8772,   24880,   12808,    4453,    6610,    7426,     281,   -3805,   11128,    9706,    2680,   -2280,    2301,  -12285,    7317,    5488,    5491,    7320,  100.0,   31.8,   35.7,   13.6,    0.5,    1.6,   11.3,   23.4,   14.4,    8.1,    3.5,    8.5,   89.2,   87.6,   10.8,   12.4,  100.0,   30.7,   36.7,   14.2,    0.5,    1.6,   14.0,   25.6,   12.3,    8.8,    4.4,    7.0,   88.7,   88.1,   11.3,   11.9,  100.0,   41.9,   26.7,    9.9,    3.0,    0.0,   18.8,   35.1,    0.6,   19.6,   14.2,    3.2,   94.0,   82.9,    6.0,   17.1,    711,    293,    296,     28,      8,     24,     61,     78,     80,     72,     63,     93,    563,    560,    704,    288,    282,     27,      9,     23,     60,     77,     75,     75,     69,     88,    550,    538,    365,     66,    199,     13,      6,.,     14,     25,.,     28,     35,     15,    131,    275,     8.2,    10.4,    14.7,    17.1,     7.7,     8.0,    13.6,    12.4,     9.0,    10.4,    15.8,    17.0,     8.3,     9.1,    14.8,    13.5,    22.6,    30.0,    39.5,    38.9,    22.6,    30.0,    39.3,    38.1,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 ","A10","FutOnly"
"OATS - CHICAGO BOARD OF TRADE",231114,2023-11-14,004603,CBT ,00,004 ,    4946,    2343,    2693,     100,     119,       0,     191,     313,       0,     340,     240,      87,    3061,    3452,    1885,    1494,    4823,    2319,    2658,     100,     119,       0,     191,     313,       0,     382,     240,      37,    3029,    3367,    1794,    1456,     123,      24,      35,       0,       0,       0,       0,       0,       0,       0,      42,       8,      32,      85,      91,      38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   47.4,   54.4,    2.0,    2.4,    0.0,    3.9,    6.3,    0.0,    6.9,    4.9,    1.8,   61.9,   69.8,   38.1,   30.2,  100.0,   48.1,   55.1,    2.1,    2.5,    0.0,    4.0,    6.5,    0.0,    7.9,    5.0,    0.8,   62.8,   69.8,   37.2,   30.2,  100.0,   19.5,   28.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   34.1,    6.5,   26.0,   69.1,   74.0,   30.9,     21,      9,      7,.,.,      0,.,.,      0,.,.,.,     14,     14,     21,      9,      7,.,.,      0,.,.,      0,.,.,.,     14,     14,.,.,.,      0,      0,      0,      0,      0,      0,      0,.,.,.,.,    36.2,    48.9,    50.4,    60.6,    15.3,    30.2,    25.1,    38.9,    36.4,    49.4,    51.0,    61.4,    15.9,    30.5,    26.3,    39.3,    26.0,    69.1,    26.0,    69.1,    11.4,    54.5,    11.4,    54.5,"(CONTRACTS OF 5,000 BUSHELS)","004603","CBT ","004 ","A10","FutOnly"
"SOYBEANS - CHICAGO BOARD OF TRADE",231114,2023-11-14,005602,CBT ,00,005 ,  738268,  248954,  413665,  117915,   22699,   13904,  129591,   34353,  104499,   30867,   39428,   40444,  686174,  668992,   52094,   69276,  665952,  215450,  390203,  116151,   23070,    6651,  130099,   30622,   89417,   28458,   33137,   32068,  618294,  605168,   47658,   60784,   72316,   33504,   23462,    8417,    6282,     600,   14436,   18675,     138,    6144,   10026,    4641,   67880,   63824,    4436,    8492,   15320,   -2738,   16936,     599,    1097,   -2176,   19550,   -3915,    3881,     924,    1269,   -5337,   14703,   11755,     617,    3565,  100.0,   33.7,   56.0,   16.0,    3.1,    1.9,   17.6,    4.7,   14.2,    4.2,    5.3,    5.5,   92.9,   90.6,    7.1,    9.4,  100.0,   32.4,   58.6,   17.4,    3.5,    1.0,   19.5,    4.6,   13.4,    4.3,    5.0,    4.8,   92.8,   90.9,    7.2,    9.1,  100.0,   46.3,   32.4,   11.6,    8.7,    0.8,   20.0,   25.8,    0.2,    8.5,   13.9,    6.4,   93.9,   88.3,    6.1,   11.7,    552,    147,    223,     23,     14,     26,     84,     35,     70,     53,     83,     76,    405,    444,    544,    139,    219,     23,     14,     21,     79,     38,     66,     57,     82,     71,    388,    428,    285,     48,    139,     11,     11,      5,     27,     15,      7,     20,     39,     20,    120,    223,    12.6,    11.8,    21.5,    20.4,     9.5,    10.5,    16.0,    17.8,    13.7,    12.9,    22.8,    22.2,    11.7,    11.5,    18.8,    19.3,    24.1,    37.7,    42.4,    49.0,    23.4,    37.5,    40.0,    46.9,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 ","A30","FutOnly"
"NJ SRECS - ICE FUTURES ENERGY DIV",231114,2023-11-14,0063CC,IFED,01,006 ,   84283,   56136,   76337,    4697,       0,     700,       0,       0,       0,   19910,    4406,    2840,   84283,   84283,       0,       0,   84283,   56136,   76337,    4697,       0,     700,       0,       0,       0,   19910,    4406,    2840,   84283,   84283,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   66.6,   90.6,    5.6,    0.0,    0.8,    0.0,    0.0,    0.0,   23.6,    5.2,    3.4,  100.0,  100.0,    0.0,    0.0,  100.0,   66.6,   90.6,    5.6,    0.0,    0.8,    0.0,    0.0,    0.0,   23.6,    5.2,    3.4,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,     15,      8,.,      0,.,      0,      0,      0,      5,.,      4,     22,     15,     26,     15,      8,.,      0,.,      0,      0,      0,      5,.,      4,     22,     15,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    46.8,    94.2,    73.4,    98.3,    45.9,    92.2,    71.7,    92.3,    46.8,    94.2,    73.4,    98.3,    45.9,    92.2,    71.7,    92.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 ","N60","FutOnly"
"PJM TRI-RECs CLASS 1  - ICE FUTURES ENERGY DIV",231114,2023-11-14,0063CH,IFED,01,006 ,  201495,  143805,  129683,   12308,   17460,    2119,   17885,       0,    1719,   13267,   40135,   10379,  201482,  201495,      13,       0,  201495,  143805,  129683,   12308,   17460,    2119,   17885,       0,    1719,   13267,   40135,   10379,  201482,  201495,      13,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -832,   -1398,    -121,       0,       0,       0,    1163,       0,   -1156,     580,     466,     -21,    -832,    -832,       0,       0,  100.0,   71.4,   64.4,    6.1,    8.7,    1.1,    8.9,    0.0,    0.9,    6.6,   19.9,    5.2,  100.0,  100.0,    0.0,    0.0,  100.0,   71.4,   64.4,    6.1,    8.7,    1.1,    8.9,    0.0,    0.9,    6.6,   19.9,    5.2,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     45,     19,     18,      4,.,.,.,      0,.,      7,      7,      7,     36,     30,     45,     19,     18,      4,.,.,.,      0,.,      7,      7,      7,     36,     30,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    52.8,    51.2,    75.2,    76.9,    51.8,    49.9,    74.1,    73.2,    52.8,    51.2,    75.2,    76.9,    51.8,    49.9,    74.1,    73.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 MWh of renewable energy certificates","0063CH","IFED","006 ","N60","FutOnly"
"CALIF LOW CARBON FSC-OPIS  - ICE FUTURES ENERGY DIV",231114,2023-11-14,0063CU,IFED,01,006 ,   32950,    7446,   20987,    6273,    3483,     778,   11488,     335,    1214,    4356,    4782,    1371,   32926,   32950,      24,       0,   32950,    7446,   20987,    6273,    3483,     778,   11488,     335,    1214,    4356,    4782,    1371,   32926,   32950,      24,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     294,       1,     128,     -45,      77,      15,     259,       0,      75,      -4,       0,      -1,     300,     294,      -6,       0,  100.0,   22.6,   63.7,   19.0,   10.6,    2.4,   34.9,    1.0,    3.7,   13.2,   14.5,    4.2,   99.9,  100.0,    0.1,    0.0,  100.0,   22.6,   63.7,   19.0,   10.6,    2.4,   34.9,    1.0,    3.7,   13.2,   14.5,    4.2,   99.9,  100.0,    0.1,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     39,      8,      6,.,.,.,      9,.,.,     12,      4,      5,     36,     19,     39,      8,      6,.,.,.,      9,.,.,     12,      4,      5,     36,     19,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    55.2,    80.2,    73.2,    93.9,    51.6,    69.0,    65.4,    77.7,    55.2,    80.2,    73.2,    93.9,    51.6,    69.0,    65.4,    77.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"100 LCFS Credits- each of 1 MT","0063CU","IFED","006 ","N60","FutOnly"
"D6 RINs OPIS CURRENT YEAR - ICE FUTURES ENERGY DIV",231114,2023-11-14,0063CW,IFED,01,006 ,   13506,    5819,    5600,    2557,    2135,     113,       0,    3043,      35,    4219,    1726,     686,   13429,   13338,      77,     168,   13506,    5819,    5600,    2557,    2135,     113,       0,    3043,      35,    4219,    1726,     686,   13429,   13338,      77,     168,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     139,     159,     275,      75,       0,       0,       0,    -180,       0,    -143,      -3,      41,     132,     133,       7,       6,  100.0,   43.1,   41.5,   18.9,   15.8,    0.8,    0.0,   22.5,    0.3,   31.2,   12.8,    5.1,   99.4,   98.8,    0.6,    1.2,  100.0,   43.1,   41.5,   18.9,   15.8,    0.8,    0.0,   22.5,    0.3,   31.2,   12.8,    5.1,   99.4,   98.8,    0.6,    1.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     40,      6,      6,.,.,.,      0,      7,.,     10,     10,      7,     22,     31,     40,      6,      6,.,.,.,      0,      7,.,     10,     10,      7,     22,     31,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    71.6,    52.6,    88.0,    71.0,    61.1,    43.0,    69.5,    55.6,    71.6,    52.6,    88.0,    71.0,    61.1,    43.0,    69.5,    55.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(50,000 RINs)","0063CW","IFED","006 ","N60","FutOnly"
